N,set_cardinality,add_ds_card,mult_ds_card,count
21,7,16,23,4
21,7,16,24,4
21,7,16,25,28
21,7,16,26,16
21,7,16,27,116
21,7,16,28,149
21,7,17,19,2
21,7,17,22,9
21,7,17,23,8
21,7,17,24,9
21,7,17,25,63
21,7,17,26,37
21,7,17,27,229
21,7,17,28,339
21,7,18,18,1
21,7,18,19,2
21,7,18,22,16
21,7,18,23,21
21,7,18,24,29
21,7,18,25,170
21,7,18,26,154
21,7,18,27,775
21,7,18,28,1234
21,7,19,18,1
21,7,19,19,1
21,7,19,21,1
21,7,19,22,32
21,7,19,23,23
21,7,19,24,43
21,7,19,25,227
21,7,19,26,294
21,7,19,27,1369
21,7,19,28,2254
21,7,20,18,2
21,7,20,19,2
21,7,20,20,4
21,7,20,21,5
21,7,20,22,63
21,7,20,23,63
21,7,20,24,118
21,7,20,25,645
21,7,20,26,613
21,7,20,27,3392
21,7,20,28,5329
21,7,21,19,6
21,7,21,20,1
21,7,21,21,5
21,7,21,22,55
21,7,21,23,82
21,7,21,24,187
21,7,21,25,924
21,7,21,26,1065
21,7,21,27,5423
21,7,21,28,8918
21,7,22,18,1
21,7,22,19,3
21,7,22,20,5
21,7,22,21,8
21,7,22,22,100
21,7,22,23,97
21,7,22,24,245
21,7,22,25,1550
21,7,22,26,1585
21,7,22,27,8813
21,7,22,28,13961
21,7,23,18,2
21,7,23,19,1
21,7,23,20,1
21,7,23,21,7
21,7,23,22,101
21,7,23,23,94
21,7,23,24,226
21,7,23,25,1580
21,7,23,26,1719
21,7,23,27,9593
21,7,23,28,13993
21,7,24,18,3
21,7,24,20,1
21,7,24,21,4
21,7,24,22,87
21,7,24,23,44
21,7,24,24,193
21,7,24,25,1236
21,7,24,26,1329
21,7,24,27,7198
21,7,24,28,9625
21,7,25,20,1
21,7,25,21,1
21,7,25,22,45
21,7,25,23,13
21,7,25,24,60
21,7,25,25,496
21,7,25,26,528
21,7,25,27,2720
21,7,25,28,3303
21,7,26,22,9
21,7,26,24,7
21,7,26,25,64
21,7,26,26,64
21,7,26,27,396
21,7,26,28,356
22,7,13,25,5
22,7,13,26,4
22,7,13,27,5
22,7,13,28,16
22,7,14,22,2
22,7,14,25,5
22,7,14,26,3
22,7,14,27,14
22,7,14,28,24
22,7,15,22,6
22,7,15,23,4
22,7,15,24,2
22,7,15,25,14
22,7,15,26,14
22,7,15,27,57
22,7,15,28,99
22,7,16,22,7
22,7,16,23,4
22,7,16,24,4
22,7,16,25,29
22,7,16,26,20
22,7,16,27,124
22,7,16,28,176
22,7,17,19,2
22,7,17,22,9
22,7,17,23,8
22,7,17,24,9
22,7,17,25,71
22,7,17,26,40
22,7,17,27,256
22,7,17,28,401
22,7,18,18,1
22,7,18,19,2
22,7,18,22,18
22,7,18,23,22
22,7,18,24,29
22,7,18,25,180
22,7,18,26,161
22,7,18,27,885
22,7,18,28,1516
22,7,19,18,1
22,7,19,19,1
22,7,19,21,1
22,7,19,22,32
22,7,19,23,23
22,7,19,24,43
22,7,19,25,240
22,7,19,26,308
22,7,19,27,1594
22,7,19,28,2759
22,7,20,18,2
22,7,20,19,2
22,7,20,20,4
22,7,20,21,5
22,7,20,22,65
22,7,20,23,63
22,7,20,24,122
22,7,20,25,706
22,7,20,26,652
22,7,20,27,3979
22,7,20,28,6824
22,7,21,19,6
22,7,21,20,1
22,7,21,21,5
22,7,21,22,59
22,7,21,23,83
22,7,21,24,188
22,7,21,25,1045
22,7,21,26,1189
22,7,21,27,6834
22,7,21,28,11726
22,7,22,18,1
22,7,22,19,3
22,7,22,20,5
22,7,22,21,8
22,7,22,22,112
22,7,22,23,107
22,7,22,24,263
22,7,22,25,1902
22,7,22,26,1897
22,7,22,27,11873
22,7,22,28,20007
22,7,23,18,2
22,7,23,19,1
22,7,23,20,1
22,7,23,21,7
22,7,23,22,119
22,7,23,23,103
22,7,23,24,262
22,7,23,25,2091
22,7,23,26,2066
22,7,23,27,13739
22,7,23,28,22379
22,7,24,18,3
22,7,24,20,1
22,7,24,21,4
22,7,24,22,122
22,7,24,23,50
22,7,24,24,221
22,7,24,25,1828
22,7,24,26,1707
22,7,24,27,11700
22,7,24,28,18192
22,7,25,20,1
22,7,25,21,1
22,7,25,22,66
22,7,25,23,19
22,7,25,24,91
22,7,25,25,861
22,7,25,26,755
22,7,25,27,5120
22,7,25,28,7478
22,7,26,18,1
22,7,26,22,19
22,7,26,23,1
22,7,26,24,23
22,7,26,25,154
22,7,26,26,136
22,7,26,27,913
22,7,26,28,1305
22,7,27,27,8
22,7,27,28,6
23,7,13,25,5
23,7,13,26,4
23,7,13,27,5
23,7,13,28,19
23,7,14,22,2
23,7,14,25,5
23,7,14,26,3
23,7,14,27,14
23,7,14,28,30
23,7,15,22,6
23,7,15,23,4
23,7,15,24,2
23,7,15,25,14
23,7,15,26,14
23,7,15,27,60
23,7,15,28,118
23,7,16,22,7
23,7,16,23,4
23,7,16,24,4
23,7,16,25,29
23,7,16,26,20
23,7,16,27,124
23,7,16,28,216
23,7,17,19,2
23,7,17,22,9
23,7,17,23,8
23,7,17,24,9
23,7,17,25,71
23,7,17,26,40
23,7,17,27,259
23,7,17,28,498
23,7,18,18,1
